"Country_Code","Country_Name.x","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"NPL","Nepal",4.81641465022444,3.42182824087472,4.78119225754814,4.12887767631092,5.98898466088025,3.32290543937557,0.588678498822517,8.2,6.7,7,1.8,2.1
"NIC","Nicaragua",4.40884490985366,6.31752482459839,6.49674729903211,4.92679226883017,4.78581617044347,4.79144081994679,4.5635422115899,4.6,-4,-3.9,-6.3,0.7
"NER","Niger",8.42619326831647,2.3647531323401,10.5999073974466,5.56572959605401,6.56442622650846,4.36778271536467,5.68855260655263,4.9,6.5,6.3,1,8.1
"NGA","Nigeria",8.00565591528179,5.30792420366642,4.23006117510556,6.67133539288376,6.30971865572383,2.65269329541835,-1.61686894991816,0.8,1.9,2.2,-3.2,1.7
"MKD","North Macedonia",3.35875085773812,2.33988604520331,-0.456183223607951,2.92525766450484,3.62912351276373,3.85586514041738,2.84820519363306,1.1,2.7,3.6,-2.1,3.9
"OMN","Oman",4.80331686366742,-1.10698696541111,9.3317368265984,4.37345329105683,2.75220025960441,4.67768559423595,4.9593715005489,0.3,1.8,0.5,-4,2
"PAK","Pakistan",1.60668862905307,2.7484059174005,3.50703342009689,4.39645663349772,4.67470798143725,4.73114747532901,5.52673584474448,5.2,5.5,1.9,-2.6,-0.2
"PAN","Panama",5.82783939246903,11.3137317481848,9.77890394560946,6.90327256581698,5.06674321802782,5.7327636321358,4.95349994364463,5.6,3.7,3,-2,4.2
"PNG","Papua New Guinea",10.1284540720232,1.10754362619616,4.65711959686239,3.82494632800676,13.5437706216546,9.48354844060211,4.07777365190216,3.5,-0.8,6,-1.3,3.4
"PRY","Paraguay",11.1437357938518,4.24911104462905,-0.538512942503061,8.41749528470305,4.86089037055322,3.08037400793089,4.31290497002365,5,3.4,0,-2.8,4.2
"PER","Peru",8.33245910749577,6.32719240161117,6.13972470560435,5.85251821084928,2.38215737180541,3.25224477218451,3.95331871520767,2.5,4,2.2,-12,7
"PHL","Philippines",7.33449996041739,3.85823282747839,6.89695171057478,6.75053130177827,6.34798748250283,6.3483097167198,7.1494567495987,6.9,6.3,6,-1.9,6.2
"POL","Poland",3.60752243410988,5.017235199938,1.60790664456468,1.39189232124922,3.31844753700079,3.83907133877577,3.06390811613761,4.9,5.3,4.1,-4.2,2.8
"QAT","Qatar",19.592331533546,13.3751764061915,4.68725917732711,4.41027461916184,3.97888214728583,3.65751026057268,2.13131091589808,1.6,1.5,-0.3,-3.5,3.6
"ROU","Romania",-3.9012362801862,2.00715624364216,2.07716500653777,3.51455180408476,3.41080910017932,3.8715223230984,4.80079990634931,7.1,4.4,4.1,-5.7,5.4
"RUS","Russian Federation",4.5000000000145,4.30002918578833,4.02408615717977,1.7554221491628,0.736267221403764,-1.9727192264298,0.193690071774782,1.8,2.5,1.3,-6,2.7
"RWA","Rwanda",7.33465895562178,7.95836092713549,8.64153886517131,4.71985549966185,6.16427720275618,8.86830954223221,5.98176525842578,6.1,8.6,9.4,2,6.9
"STP","Sao Tome and Principe",6.67198365652814,4.39820201461629,3.14197645952099,4.81479265412412,6.54993495501441,3.79839841822348,4.17237622323567,3.9,2.7,2.4,-9.5,6.1
"SAU","Saudi Arabia",5.03949367491363,9.996857793684,5.41144490216436,2.69925472255672,3.65248169757899,4.10640887013658,1.67062475765871,-0.7,2.4,0.3,-3.8,2.5
"SEN","Senegal",3.56274538992136,1.45838867138957,5.11739423674786,2.82210564972358,6.61350010337397,6.36704365066983,6.35606857181878,7.4,6.4,5.3,1.3,4
"SRB","Serbia",0.73104644308539,2.03627572593629,-0.68154213304129,2.89263416214173,-1.58950618376664,1.77632097282286,3.34032906859376,2,4.4,4.2,-2.5,4
"SYC","Seychelles",5.95496246872393,7.88727959697732,1.26082883408726,6.01807682463131,4.5047848663951,4.93738645869301,4.56262243559134,4.3,4.1,3.8,-11.1,6.3
"SLE","Sierra Leone",5.34646605237529,6.31504503637647,15.1817690830225,20.7157682858728,4.55677236615293,-20.5987707154032,6.05547402877262,3.8,3.5,5.1,-2.3,4
"SLB","Solomon Islands",6.80904500865549,13.1956321465564,4.55539476874381,3.01784955395514,2.25009094691579,2.54223960716094,3.22094720274958,3.7,3.9,2.7,-6.7,-0.3
"ZAF","South Africa",3.03973081360166,3.2841681423114,2.21335480848441,2.4852005003106,1.84699160365717,1.19373280124428,0.399087929556359,1.4,0.8,0.2,-7.1,2.9
"SSD","South Sudan",5.49341639529945,-4.64031673600859,-46.0821223743007,13.1297311406943,3.37364847715736,-10.7933646271143,NA,-6.9,-3.5,3.2,-4.3,-23.6
"LKA","Sri Lanka",8.01596737088065,8.404733021011,9.14457224642567,3.39573264983426,4.9607005916973,5.00768330472781,4.48663453096836,3.6,3.3,2.3,-3.2,0
"LCA","St. Lucia",1.60386238499591,5.48341133345708,-0.199851740436472,-3.17437760445316,1.75866590118241,-1.36048466199094,3.98686894846038,2.2,1.4,1.4,-8.8,8.3
"VCT","St. Vincent and the Grenadines",-3.35343741019349,-0.419296168353213,1.38208741166592,1.83297665252033,1.21403892048492,1.3302754984134,1.89744094374242,1,2,0.4,-5.5,4
"SDN","Sudan",-0.333179159061743,3.79775664868008,-1.43983571862924,4.39469583274585,2.67942566815047,4.90604187922439,4.69997603878434,4.3,-2.3,-2.6,-4,0.5
"SUR","Suriname",5.16882516188714,5.84936778449699,2.69035005713098,2.93344123002225,0.255503144654085,-3.41109586355617,-5.56119342399026,1.8,2.6,2.3,-5,3
"TJK","Tajikistan",6.5206807512775,7.40064054338714,7.48617522370516,7.40008125648346,6.70596816770588,6.0082878718954,6.87296379689192,7.6,7.3,7.5,-2,3.7
"TZA","Tanzania",6.33652342747493,7.67215543499384,4.50015355982127,6.78158560065316,6.73246186832482,6.16062877406685,6.86711619644551,6.8,5.4,5.8,2.5,5.5
"THA","Thailand",7.51339053261624,0.840132083053334,7.24279620249642,2.68749556320556,0.984425109933866,3.13389696194272,3.4292197120426,4.1,4.2,2.4,-5,4.1
"TLS","Timor-Leste",9.45921909407321,5.80671078732367,6.01658762142027,2.12496163661102,4.4506784503975,3.0559899844917,3.55051798690673,-3.8,-0.8,3.4,-4.8,3.8
"TGO","Togo",6.09925916082048,6.39819905238801,6.54350703065616,6.11234307771727,5.92058857118545,5.74286845333449,5.55907930638588,4.4,4.9,5.3,1,4
"TUN","Tunisia",3.5106086386031,-1.91717767962636,3.99767400230937,2.87552384230733,2.97139834510902,1.19454175326123,1.15960097473781,1.9,2.7,1,-4,4.2
"TUR","Turkey",8.48737218680751,11.1134955478506,4.78994020703441,8.49130939268635,5.16669070304552,6.08588663198672,3.18383154306613,7.5,2.8,0.9,-3.8,5
"TKM","Turkmenistan",9.19999998805483,14.6999999278723,11.0999999615545,10.200000101399,10.2999999705459,6.49999990951666,6.1999999664301,6.5,6.2,6.3,0,4
"UGA","Uganda",5.63761163803866,9.39165549287489,3.83745560590334,3.58690582632011,5.10630732431181,5.1878598625444,4.78100029137663,3.9,6.2,6.5,3.3,3.7
"UKR","Ukraine",3.83439250483319,5.46550184584432,0.238681720768113,-0.0266978900718868,-6.55263129365765,-9.77296079067543,2.23506761905661,2.5,3.3,3.2,-3.5,3
"ARE","United Arab Emirates",1.60280996068229,6.93027162943835,4.4846260849087,5.05334582526655,4.2843036857948,5.10593698394698,3.06096430837654,0.5,1.7,1.7,-4.5,1.4
"USA","United States",2.56376655876581,1.55083550568156,2.24954585236993,1.84208107101101,2.45197303536034,2.88091046605219,1.56721516997864,2.4,2.9,2.3,-6.1,4
"URY","Uruguay",7.80340966844247,5.16213302579712,3.53817870685688,4.63753864311411,3.23879121621601,0.370741266957879,1.68979816237868,2.6,1.6,0.2,-3.7,4.6
"UZB","Uzbekistan",7.59716796084425,7.78490586423924,7.37568798633509,7.58453784867193,7.1793995501849,7.44770507451466,6.09421023859676,4.5,5.4,5.6,1.5,6.6
"VNM","Vietnam",6.42323821717494,6.24030274887527,5.2473671560487,5.42188299130713,5.98365463697851,6.67928878891431,6.21081166789989,6.8,7.1,7,2.8,6.8
"PSE","West Bank and Gaza",8.09908926205796,12.413635701795,6.28423577159163,2.21742245691443,-0.181890996723581,3.42873225371518,4.70843525605618,1.4,1.2,0.9,-7.6,5.1
"ZMB","Zambia",10.2982233241213,5.56460233670752,7.59759321053188,5.05749092570618,4.69772915005061,2.91998021228818,3.77677549218025,3.4,4,1.7,-0.8,2.4
"ZWE","Zimbabwe",19.6753231424645,14.1939129572162,16.6654287684678,1.98949276207208,2.37692932698003,1.77987270340296,0.75586925093063,4.7,3.5,-8.1,-10,2.9
