Country,ISO,WHO_region,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,19-20Diff
Afghanistan,AFG,Eastern Mediterranean,11.4879999160767,11.5080003738403,11.5340003967285,11.4479999542236,11.3870000839233,11.3129997253418,11.1840000152588,11.0570001602173,11.1180000305176,11.1639995574951,0.04599952697749998
Albania,ALB,European,13.4809999465942,13.3760004043579,15.8660001754761,17.4899997711182,17.0799999237061,15.2200002670288,13.75,12.3400001525879,12.331000328064,12.8129997253418,0.48199939727780006
Algeria,DZA,African,9.96000003814697,10.9700002670288,9.81999969482422,10.2069997787476,11.206000328064,10.2019996643066,11.996000289917,11.8819999694824,11.7040004730225,11.5249996185303,-0.17900085449219993
Angola,AGO,African,7.36199998855591,7.37900018692017,7.40000009536743,7.33099985122681,7.28200006484985,7.22300004959106,7.11899995803833,7.01900005340576,6.88600015640259,6.77400016784668,-0.11199998855590998
Argentina,ARG,Americas,7.17999982833862,7.21700000762939,7.09999990463257,7.26800012588501,7.75,7.97700023651123,8.34700012207031,9.22000026702881,9.78899955749512,10.4359998703003,0.6470003128051793
Armenia,ARM,European,18.443000793457,17.3010005950928,16.1790008544922,17.4979991912842,18.2609996795654,17.617000579834,17.7049999237061,17.496000289917,16.9899997711182,16.625,-0.3649997711181996
Australia,AUS,Western Pacific,5.08099985122681,5.22399997711182,5.66200017929077,6.0770001411438,6.05399990081787,5.71000003814697,5.59100008010864,5.2979998588562,5.26800012588501,5.32800006866455,0.05999994277954013
Austria,AUT,European,4.56400012969971,4.86499977111816,5.33500003814697,5.61999988555908,5.72300004959106,6.01399993896484,5.49900007247925,4.84800004959106,4.67399978637695,4.77899980545044,0.10500001907349077
Azerbaijan,AZE,European,5.42000007629395,5.19000005722046,4.96999979019165,4.90999984741211,4.96000003814697,5.0,5.0,4.90000009536743,5.50899982452393,5.96000003814697,0.45100021362303977
Bahamas,BHS,Americas,14.5200004577637,14.0200004577637,16.1800003051758,13.8000001907349,12.0,12.6999998092651,9.80000019073486,10.0,10.3599996566772,11.2700004577637,0.9100008010865004
Bahrain,BHR,Eastern Mediterranean,1.27400004863739,1.20000004768372,1.32299995422363,1.16999995708466,1.12999999523163,0.919000029563904,0.700999975204468,0.649999976158142,0.71399998664856,0.763000011444092,0.049000024795532005
Bangladesh,BGD,South-East Asia,3.70499992370605,4.05499982833862,4.42600011825562,4.39499998092651,4.37799978256226,4.34999990463257,4.37200021743774,4.2810001373291,4.19000005722046,4.15100002288818,-0.03900003433227983
Barbados,BRB,Americas,11.1899995803833,11.5900001525879,11.5500001907349,12.1700000762939,11.3500003814697,9.72000026702881,9.76099967956543,9.38500022888184,10.331000328064,10.9379997253418,0.6069993972778001
Belarus,BLR,European,6.09800004959106,6.07800006866455,6.06300020217896,5.98099994659424,5.91400003433228,5.84000015258789,5.65000009536743,4.76000022888184,4.59499979019165,4.625,0.03000020980834961
Belgium,BEL,European,7.1399998664856,7.54199981689453,8.42500019073486,8.52299976348877,8.48200035095215,7.82999992370605,7.08599996566772,5.94799995422363,5.58900022506714,5.69199991226196,0.10299968719482067
Belize,BLZ,Americas,8.42599964141846,8.38500022888184,8.34899997711182,8.24400043487549,7.57800006866455,7.0,6.59499979019165,6.51200008392334,6.41300010681152,6.35699987411499,-0.05600023269652965
Benin,BEN,African,2.64599990844727,2.66000008583069,2.67700004577637,2.62100005149841,2.58200001716614,2.53699994087219,2.45900011062622,2.38599991798401,2.23200011253357,2.02300000190735,-0.20900011062621981
Bhutan,BTN,South-East Asia,3.23000001907349,2.04999995231628,2.86999988555908,2.63000011444092,2.45000004768372,2.41599988937378,2.35800004005432,2.30299997329712,2.34200000762939,2.39000010490417,0.04800009727477983
Bolivia (Plurinational State of),BOL,Americas,2.21900010108948,2.04800009727478,2.39400005340576,2.00699996948242,3.06599998474121,3.52500009536743,3.67000007629395,3.53399991989136,3.49799990653992,3.45000004768372,-0.047999858856200284
Bosnia and Herzegovina,BIH,European,27.5820007324219,28.0100002288818,27.4500007629395,27.5170001983643,27.6940002441406,25.4080009460449,20.5270004272461,18.3999996185303,18.4249992370605,18.4379997253418,0.013000488281299738
Botswana,BWA,African,17.8649997711182,17.8889999389648,17.9209995269775,17.8190002441406,17.7469997406006,17.6590003967285,17.5049991607666,17.3530006408691,18.193000793457,18.7210006713867,0.5279998779297017
Brazil,BRA,Americas,6.91699981689453,7.18599987030029,6.97599983215332,6.66099977493286,8.42700004577637,11.6000003814697,12.8219995498657,12.3339996337891,12.0830001831055,11.9659996032715,-0.11700057983400036
Brunei Darussalam,BRN,Western Pacific,6.69399976730347,6.90500020980835,7.12599992752075,6.96500015258789,7.91400003433228,8.71100044250488,9.31599998474121,8.86200046539307,9.11699962615967,9.04399967193604,-0.07299995422362926
Bulgaria,BGR,European,11.2600002288818,12.2700004577637,12.9409999847412,11.423999786377,9.14299964904785,7.57499980926514,6.16400003433228,5.21099996566772,4.34000015258789,3.84999990463257,-0.4900002479553196
Burkina Faso,BFA,African,5.14300012588501,5.60099983215332,6.08699989318848,6.47900009155273,6.41800022125244,6.3439998626709,6.21600008010864,6.0939998626709,6.26399993896484,6.41400003433228,0.15000009536743963
Burundi,BDI,African,1.7150000333786,1.67799997329712,1.64400005340576,1.57200002670288,1.55200004577637,1.52799999713898,1.48699998855591,1.44799995422363,1.42700004577637,1.40799999237061,-0.019000053405760164
